userId,movieId,movie_categoryId,movieRating
1,1,1,5
2,1,1,5
3,1,1,5
4,1,1,4
5,1,1,4
6,1,1,5
7,1,1,4
8,1,1,4
9,1,1,3
10,1,1,4
11,1,1,5
12,1,1,3
13,1,1,5
14,1,1,3
15,1,1,3
16,1,1,4
17,1,1,5
18,1,1,5
19,1,1,5
20,1,1,4
21,1,1,1
22,1,1,4
23,1,1,5
24,1,1,4
25,1,1,4
26,1,1,5
27,1,1,5
28,1,1,4
29,1,1,5
30,1,1,4
31,1,1,5
32,1,1,5
33,1,1,2
34,1,1,5
35,1,1,5
36,1,1,5
37,1,1,3
38,1,1,4
39,1,1,5
40,1,1,4
41,1,1,4
42,1,1,5
43,1,1,5
44,1,1,4
45,1,1,5
46,1,1,2
47,2,1,4
48,2,1,5
49,2,1,4
50,2,1,5
51,2,1,5
52,2,1,3
53,2,1,5
54,2,1,4
55,2,1,4
56,2,1,5
57,2,1,4
58,2,1,4
59,2,1,4
60,2,1,4
61,2,1,5
62,2,1,5
63,3,1,3
64,3,1,4
65,3,1,3
66,3,1,3
67,3,1,3
68,3,1,2
69,3,1,3
70,3,1,4
71,3,1,3
72,3,1,4
73,3,1,2
74,3,1,2
75,4,1,4
76,4,1,2
77,4,1,4
78,4,1,5
79,4,1,3
80,4,1,5
81,4,1,2
82,4,1,5
83,4,1,4
84,4,1,5
85,4,1,2
86,4,1,2
87,4,1,3
12,4,1,4
88,4,1,2
89,4,1,5
90,4,1,5
44,4,1,5
91,4,1,4
92,4,1,2
93,4,1,3
19,4,1,5
94,4,1,5
95,4,1,5
96,4,1,5
97,4,1,1
98,4,1,4
99,4,1,4
100,4,1,4
40,4,1,3
101,5,1,5
102,5,1,4
103,5,1,5
104,5,1,5
105,5,1,5
106,5,1,3
24,6,1,5
107,6,1,4
108,6,1,5
35,6,1,5
109,6,1,5
62,6,1,5
110,7,1,3
111,8,1,5
110,8,1,5
112,9,1,5
113,9,1,4
114,9,1,5
115,9,1,2
116,10,1,4
117,10,1,5
118,10,1,5
39,10,1,5
119,10,1,4
120,11,1,5
121,11,1,5
24,11,1,5
122,11,1,5
101,11,1,5
101,11,1,4
123,11,1,5
123,11,1,5
123,11,1,5
124,11,1,5
125,11,1,5
17,11,1,5
126,11,1,5
127,11,1,5
127,11,1,5
128,11,1,5
129,11,1,4
130,11,1,5
131,11,1,5
132,11,1,4
133,11,1,5
134,11,1,5
135,11,1,1
136,11,1,4
137,11,1,5
138,11,1,5
139,11,1,5
140,11,1,5
141,11,1,2
142,11,1,4
143,11,1,4
144,11,1,3
145,11,1,5
146,11,1,5
147,11,1,4
148,11,1,5
122,11,1,5
149,11,1,2
150,12,1,4
151,12,1,4
152,12,1,4
153,12,1,3
154,12,1,3
155,12,1,4
156,12,1,3
157,12,1,3
158,12,1,4
159,12,1,2
160,12,1,2
161,12,1,3
162,12,1,3
27,12,1,3
163,12,1,4
164,12,1,5
165,12,1,3
24,12,1,3
166,12,1,3
39,12,1,2
167,12,1,2
168,12,1,5
1,13,1,4
150,13,1,3
169,13,1,4
24,13,1,3
153,13,1,4
170,13,1,3
157,13,1,3
155,13,1,4
171,13,1,3
172,13,1,3
159,13,1,3
161,13,1,3
173,13,1,4
174,13,1,4
175,13,1,1
176,13,1,4
177,13,1,2
39,13,1,2
167,13,1,1
80,14,1,3
178,14,1,3
179,14,1,1
180,14,1,1
181,14,1,2
182,14,1,1
183,14,1,2
97,14,1,1
184,14,1,1
185,14,1,2
186,14,1,1
187,14,1,4
110,14,1,1
188,14,1,3
189,14,1,3
39,14,1,1
190,15,1,5
127,15,1,4
191,15,1,2
27,15,1,5
192,16,1,5
8,16,1,5
125,16,1,5
127,16,1,3
193,16,1,3
194,16,1,5
163,16,1,3
27,16,1,4
195,16,1,5
196,16,1,3
39,16,1,5
197,16,1,5
198,17,1,2
199,17,1,3
200,17,1,3
201,17,1,2
106,17,1,2
45,18,1,2
202,18,1,1
203,19,1,4
204,19,1,5
205,19,1,5
206,19,1,5
207,19,1,5
208,19,1,5
197,20,1,5
209,20,1,4
6,20,1,4
210,20,1,5
211,20,1,4
157,20,1,5
20,20,1,4
19,20,1,5
159,20,1,5
212,20,1,5
213,20,1,4
214,20,1,4
215,20,1,5
27,20,1,4
216,20,1,4
217,20,1,4
218,20,1,4
219,20,1,4
220,20,1,4
221,20,1,5
39,20,1,5
62,20,1,5
222,20,1,5
38,20,1,4
34,20,1,4
223,20,1,5
224,20,1,4
6,21,1,3
38,21,1,2
225,21,1,1
226,21,1,5
227,21,1,4
228,21,1,4
229,21,1,3
230,21,1,1
226,21,1,5
231,21,1,4
205,21,1,3
